:START_ID,:END_ID
100051597.0,0
100051625.0,1
100051630.0,2
100051642.0,3
100051655.0,2
100051665.0,3
100051687.0,3
100051699.0,2
100051703.0,4
100051726.0,0
100051732.0,5
100051743.0,5
100051749.0,3
100051752.0,5
100051756.0,3
100051768.0,2
100051864.0,4
100051869.0,0
100051874.0,3
100051942.0,5
100051182.0,5
100040671.0,2
100040694.0,1
100040729.0,5
100040737.0,5
100040739.0,3
100040761.0,4
100040770.0,2
100040805.0,3
100040819.0,5
100040824.0,3
100040826.0,5
100040831.0,5
100040844.0,3
100040861.0,0
100040875.0,2
100040889.0,3
100040899.0,0
100040912.0,3
100040915.0,3
100040941.0,3
100040968.0,2
100040978.0,3
100040983.0,5
100041006.0,5
100041018.0,5
100041062.0,3
100041076.0,2
100041079.0,6
100041115.0,2
100041118.0,2
100041121.0,2
100041152.0,2
100041156.0,7
100041159.0,4
100041161.0,2
100041174.0,5
100041186.0,5
100041215.0,5
100041221.0,0
100041231.0,5
100041232.0,2
100041237.0,3
100041275.0,2
100041276.0,3
100041288.0,1
100041307.0,2
100041393.0,3
100041468.0,2
100041478.0,3
100041504.0,5
100041511.0,5
100041525.0,2
100041539.0,0
100041540.0,5
100041548.0,3
100041559.0,3
100041581.0,0
100041590.0,2
100041624.0,3
100041630.0,4
100041643.0,4
100041666.0,0
100041697.0,5
100041703.0,3
100041743.0,1
100041748.0,5
100048080.0,5
100040590.0,5
100040612.0,3
100040626.0,7
100040636.0,5
100040638.0,2
100040653.0,2
100010987.0,2
100040001.0,0
100040035.0,0
100040110.0,0
100040138.0,0
100040144.0,4
100040193.0,5
100040205.0,0
100040236.0,0
100040266.0,0
100040275.0,0
100040286.0,3
100040306.0,2
100040320.0,2
100040343.0,0
100040346.0,2
100040351.0,0
100040355.0,0
100040379.0,7
100040394.0,4
100040396.0,3
100040429.0,2
100040471.0,0
100040487.0,3
100040505.0,3
100040509.0,0
100040531.0,3
100040547.0,0
100040557.0,2
100040576.0,7
93521238.0,2
100032000000.0,8
93630908.0,3
100031097.0,2
100031130.0,3
100031141.0,3
100031162.0,1
100031166.0,5
100031169.0,5
100031177.0,2
100031181.0,1
100031185.0,0
100031220.0,5
100031228.0,9
100031230.0,2
100031247.0,3
100031249.0,2
100031254.0,4
100031257.0,1
100031270.0,5
100031290.0,0
100031334.0,0
100031336.0,4
100031413.0,0
100031434.0,0
100031438.0,1
100031458.0,5
100031502.0,5
100031529.0,3
100031534.0,3
100031545.0,5
100031569.0,0
100031586.0,2
100031612.0,0
100030019.0,5
100030045.0,5
100030079.0,5
100030084.0,5
100030089.0,4
100030091.0,6
100030109.0,5
100030140.0,0
100030153.0,0
100030162.0,0
100030171.0,5
100030183.0,4
100030193.0,0
100030194.0,3
100030224.0,4
100030251.0,1
100030323.0,5
100030327.0,2
100030344.0,5
100030364.0,7
100030380.0,2
100030381.0,5
100030384.0,3
100030422.0,0
100030430.0,3
100030433.0,1
100030438.0,5
100030440.0,5
100030447.0,9
100030563.0,5
100030583.0,0
100030628.0,0
100030629.0,2
100030666.0,0
100030673.0,4
100030695.0,3
100030702.0,5
100030717.0,5
100030721.0,5
100030736.0,4
100030737.0,5
100030750.0,5
100030753.0,5
100030772.0,5
100030773.0,2
100030816.0,5
100030818.0,5
100030850.0,5
100030860.0,2
100030861.0,5
100030877.0,0
100030897.0,4
100030940.0,5
100030961.0,2
100030965.0,3
100030970.0,4
100030985.0,5
100031021.0,0
100031025.0,3
100031039.0,3
100031048.0,5
100031063.0,2
100031065.0,2
100031071.0,2
100020043.0,5
100020076.0,5
100020136.0,5
100020167.0,5
100020214.0,2
100020232.0,7
100020253.0,2
100020365.0,0
100020418.0,5
100020429.0,5
100020451.0,3
100020470.0,2
100020517.0,7
100020535.0,5
100020555.0,5
100020602.0,3
100020614.0,3
100020617.0,2
100020618.0,5
100020623.0,5
100020659.0,1
100020665.0,3
100020668.0,2
100020683.0,5
100020687.0,5
100020690.0,5
100020695.0,7
100020718.0,5
100020720.0,5
100020724.0,2
100020751.0,5
100020752.0,5
100020754.0,3
100020776.0,0
100020777.0,3
100020785.0,3
100020819.0,4
100020823.0,2
100020836.0,2
100020844.0,3
100020864.0,2
100020866.0,0
100020869.0,3
100020875.0,3
100020880.0,5
100020919.0,5
100020931.0,2
100020932.0,5
100020936.0,3
100020947.0,6
100020954.0,1
100020959.0,5
100020976.0,5
100020985.0,3
100020987.0,5
100020990.0,5
100020996.0,2
100021067.0,2
100021083.0,2
100021108.0,3
100021140.0,2
100021147.0,3
100021154.0,5
100021175.0,5
100021201.0,2
100021236.0,2
100021279.0,5
100021285.0,2
100021292.0,5
100021303.0,1
100021314.0,5
