crimeId:ID,date
100051597.0,2010-05-01
100051625.0,2010-05-01
100051630.0,2010-05-01
100051642.0,2010-05-01
100051655.0,2010-05-01
100051665.0,2010-05-01
100051687.0,2010-05-01
100051699.0,2010-05-01
100051703.0,2010-05-01
100051726.0,2010-05-01
100051732.0,2010-05-01
100051743.0,2010-05-01
100051749.0,2010-05-01
100051752.0,2010-05-01
100051756.0,2010-05-01
100051768.0,2010-05-01
100051864.0,2010-05-01
100051869.0,2010-05-01
100051874.0,2010-05-01
100051942.0,2010-05-01
100051182.0,2010-04-01
100040671.0,2010-04-01
100040694.0,2010-04-01
100040729.0,2010-04-01
100040737.0,2010-04-01
100040739.0,2010-04-01
100040761.0,2010-04-01
100040770.0,2010-04-01
100040805.0,2010-04-01
100040819.0,2010-04-01
100040824.0,2010-04-01
100040826.0,2010-04-01
100040831.0,2010-04-01
100040844.0,2010-04-01
100040861.0,2010-04-01
100040875.0,2010-04-01
100040889.0,2010-04-01
100040899.0,2010-04-01
100040912.0,2010-04-01
100040915.0,2010-04-01
100040941.0,2010-04-01
100040968.0,2010-04-01
100040978.0,2010-04-01
100040983.0,2010-04-01
100041006.0,2010-04-01
100041018.0,2010-04-01
100041062.0,2010-04-01
100041076.0,2010-04-01
100041079.0,2010-04-01
100041115.0,2010-04-01
100041118.0,2010-04-01
100041121.0,2010-04-01
100041152.0,2010-04-01
100041156.0,2010-04-01
100041159.0,2010-04-01
100041161.0,2010-04-01
100041174.0,2010-04-01
100041186.0,2010-04-01
100041215.0,2010-04-01
100041221.0,2010-04-01
100041231.0,2010-04-01
100041232.0,2010-04-01
100041237.0,2010-04-01
100041275.0,2010-04-01
100041276.0,2010-04-01
100041288.0,2010-04-01
100041307.0,2010-04-01
100041393.0,2010-04-01
100041468.0,2010-04-01
100041478.0,2010-04-01
100041504.0,2010-04-01
100041511.0,2010-04-01
100041525.0,2010-04-01
100041539.0,2010-04-01
100041540.0,2010-04-01
100041548.0,2010-04-01
100041559.0,2010-04-01
100041581.0,2010-04-01
100041590.0,2010-04-01
100041624.0,2010-04-01
100041630.0,2010-04-01
100041643.0,2010-04-01
100041666.0,2010-04-01
100041697.0,2010-04-01
100041703.0,2010-04-01
100041743.0,2010-04-01
100041748.0,2010-04-01
100048080.0,2010-04-01
100040590.0,2010-04-01
100040612.0,2010-04-01
100040626.0,2010-04-01
100040636.0,2010-04-01
100040638.0,2010-04-01
100040653.0,2010-04-01
100010987.0,2010-04-01
100040001.0,2010-04-01
100040035.0,2010-04-01
100040110.0,2010-04-01
100040138.0,2010-04-01
100040144.0,2010-04-01
100040193.0,2010-04-01
100040205.0,2010-04-01
100040236.0,2010-04-01
100040266.0,2010-04-01
100040275.0,2010-04-01
100040286.0,2010-04-01
100040306.0,2010-04-01
100040320.0,2010-04-01
100040343.0,2010-04-01
100040346.0,2010-04-01
100040351.0,2010-04-01
100040355.0,2010-04-01
100040379.0,2010-04-01
100040394.0,2010-04-01
100040396.0,2010-04-01
100040429.0,2010-04-01
100040471.0,2010-04-01
100040487.0,2010-04-01
100040505.0,2010-04-01
100040509.0,2010-04-01
100040531.0,2010-04-01
100040547.0,2010-04-01
100040557.0,2010-04-01
100040576.0,2010-04-01
93521238.0,2010-04-01
100032000000.0,2010-04-01
93630908.0,2010-04-01
100031097.0,2010-03-01
100031130.0,2010-03-01
100031141.0,2010-03-01
100031162.0,2010-03-01
100031166.0,2010-03-01
100031169.0,2010-03-01
100031177.0,2010-03-01
100031181.0,2010-03-01
100031185.0,2010-03-01
100031220.0,2010-03-01
100031228.0,2010-03-01
100031230.0,2010-03-01
100031247.0,2010-03-01
100031249.0,2010-03-01
100031254.0,2010-03-01
100031257.0,2010-03-01
100031270.0,2010-03-01
100031290.0,2010-03-01
100031334.0,2010-03-01
100031336.0,2010-03-01
100031413.0,2010-03-01
100031434.0,2010-03-01
100031438.0,2010-03-01
100031458.0,2010-03-01
100031502.0,2010-03-01
100031529.0,2010-03-01
100031534.0,2010-03-01
100031545.0,2010-03-01
100031569.0,2010-03-01
100031586.0,2010-03-01
100031612.0,2010-03-01
100030019.0,2010-03-01
100030045.0,2010-03-01
100030079.0,2010-03-01
100030084.0,2010-03-01
100030089.0,2010-03-01
100030091.0,2010-03-01
100030109.0,2010-03-01
100030140.0,2010-03-01
100030153.0,2010-03-01
100030162.0,2010-03-01
100030171.0,2010-03-01
100030183.0,2010-03-01
100030193.0,2010-03-01
100030194.0,2010-03-01
100030224.0,2010-03-01
100030251.0,2010-03-01
100030323.0,2010-03-01
100030327.0,2010-03-01
100030344.0,2010-03-01
100030364.0,2010-03-01
100030380.0,2010-03-01
100030381.0,2010-03-01
100030384.0,2010-03-01
100030422.0,2010-03-01
100030430.0,2010-03-01
100030433.0,2010-03-01
100030438.0,2010-03-01
100030440.0,2010-03-01
100030447.0,2010-03-01
100030563.0,2010-03-01
100030583.0,2010-03-01
100030628.0,2010-03-01
100030629.0,2010-03-01
100030666.0,2010-03-01
100030673.0,2010-03-01
100030695.0,2010-03-01
100030702.0,2010-03-01
100030717.0,2010-03-01
100030721.0,2010-03-01
100030736.0,2010-03-01
100030737.0,2010-03-01
100030750.0,2010-03-01
