:START_ID,:END_ID
100051597.0,107
100051625.0,602
100051630.0,602
100051642.0,402
100051655.0,210
100051665.0,412
100051687.0,301
100051699.0,109
100051703.0,414
100051726.0,412
100051732.0,612
100051743.0,610
100051749.0,105
100051752.0,601
100051756.0,108
100051768.0,313
100051864.0,111
100051869.0,506
100051874.0,305
100051942.0,502
100051182.0,501
100040671.0,210
100040694.0,302
100040729.0,302
100040737.0,506
100040739.0,105
100040761.0,406
100040770.0,414
100040805.0,403
100040819.0,510
100040824.0,307
100040826.0,105
100040831.0,211
100040844.0,112
100040861.0,402
100040875.0,306
100040889.0,605
100040899.0,303
100040912.0,410
100040915.0,301
100040941.0,407
100040968.0,210
100040978.0,412
100040983.0,511
100041006.0,505
100041018.0,511
100041062.0,313
100041076.0,210
100041079.0,313
100041115.0,307
100041118.0,208
100041121.0,210
100041152.0,113
100041156.0,606
100041159.0,511
100041161.0,412
100041174.0,306
100041186.0,503
100041215.0,503
100041221.0,304
100041231.0,604
100041232.0,414
100041237.0,207
100041275.0,603
100041276.0,112
100041288.0,106
100041307.0,210
100041393.0,612
100041468.0,210
100041478.0,110
100041504.0,208
100041511.0,209
100041525.0,210
100041539.0,307
100041540.0,208
100041548.0,404
100041559.0,605
100041581.0,302
100041590.0,401
100041624.0,502
100041630.0,413
100041643.0,401
100041666.0,605
100041697.0,507
100041703.0,101
100041743.0,301
100041748.0,503
100048080.0,50
100040590.0,604
100040612.0,409
100040626.0,305
100040636.0,302
100040638.0,311
100040653.0,604
100010987.0,208
100040001.0,405
100040035.0,605
100040110.0,405
100040138.0,301
100040144.0,601
100040193.0,605
100040205.0,410
100040236.0,305
100040266.0,414
100040275.0,108
100040286.0,104
100040306.0,407
100040320.0,506
100040343.0,113
100040346.0,607
100040351.0,406
100040355.0,110
100040379.0,409
100040394.0,602
100040396.0,207
100040429.0,408
100040471.0,103
100040487.0,304
100040505.0,106
100040509.0,305
100040531.0,106
100040547.0,404
100040557.0,410
100040576.0,503
93521238.0,204
100032000000.0,303
93630908.0,211
100031097.0,210
100031130.0,105
100031141.0,202
100031162.0,311
100031166.0,508
100031169.0,210
100031177.0,309
100031181.0,408
100031185.0,211
100031220.0,208
100031228.0,311
100031230.0,210
100031247.0,607
100031249.0,106
100031254.0,106
100031257.0,407
100031270.0,508
100031290.0,401
100031334.0,102
100031336.0,105
100031413.0,507
100031434.0,411
100031438.0,110
100031458.0,602
100031502.0,208
100031529.0,307
100031534.0,408
100031545.0,206
100031569.0,102
100031586.0,503
100031612.0,413
100030019.0,509
100030045.0,505
100030079.0,506
100030084.0,508
100030089.0,407
100030091.0,307
100030109.0,602
100030140.0,206
100030153.0,206
100030162.0,206
100030171.0,601
100030183.0,302
100030193.0,501
100030194.0,210
100030224.0,404
100030251.0,301
100030323.0,207
100030327.0,103
100030344.0,510
100030364.0,405
100030380.0,208
100030381.0,505
100030384.0,408
100030422.0,206
100030430.0,506
100030433.0,106
100030438.0,505
100030440.0,102
100030447.0,203
100030563.0,601
100030583.0,211
100030628.0,610
100030629.0,111
100030666.0,211
100030673.0,406
100030695.0,210
100030702.0,602
100030717.0,207
100030721.0,208
100030736.0,303
100030737.0,611
100030750.0,208
100030753.0,204
100030772.0,602
100030773.0,211
100030816.0,208
100030818.0,112
100030850.0,110
100030860.0,208
100030861.0,506
100030877.0,304
100030897.0,101
100030940.0,212
100030961.0,204
100030965.0,106
100030970.0,111
100030985.0,506
100031021.0,603
100031025.0,102
100031039.0,604
100031048.0,601
100031063.0,508
100031065.0,110
100031071.0,208
100020043.0,213
100020076.0,501
100020136.0,507
100020167.0,506
100020214.0,305
100020232.0,408
100020253.0,508
100020365.0,301
100020418.0,603
100020429.0,506
100020451.0,301
100020470.0,305
100020517.0,302
100020535.0,503
100020555.0,212
100020602.0,410
100020614.0,313
100020617.0,211
100020618.0,207
100020623.0,506
100020659.0,507
100020665.0,207
100020668.0,509
100020683.0,411
100020687.0,505
100020690.0,501
100020695.0,206
100020718.0,111
100020720.0,505
100020724.0,301
100020751.0,511
100020752.0,502
100020754.0,409
100020776.0,604
100020777.0,212
100020785.0,305
100020819.0,409
100020823.0,404
100020836.0,612
100020844.0,305
100020864.0,208
100020866.0,210
100020869.0,313
100020875.0,410
100020880.0,605
100020919.0,208
100020931.0,210
100020932.0,504
100020936.0,104
100020947.0,312
100020954.0,609
100020959.0,507
100020976.0,303
100020985.0,412
100020987.0,306
100020990.0,508
100020996.0,208
100021067.0,308
100021083.0,501
100021108.0,414
100021140.0,402
100021147.0,305
100021154.0,503
100021175.0,608
100021201.0,210
