:START_ID,:END_ID
100021328.0,17
100021330.0,56
100021346.0,23
100021391.0,32
100021483.0,3
100021505.0,63
100021520.0,3
100021527.0,47
100021662.0,22
100021675.0,56
100021678.0,96
100021682.0,97
100021705.0,5
100021784.0,49
100022000000.0,86
93641508.0,29
100011076.0,55
100011079.0,15
100011089.0,14
100011103.0,62
100011107.0,22
100011146.0,60
100011158.0,73
100011202.0,15
100011206.0,2
100011217.0,98
100011246.0,36
100011264.0,72
100011283.0,99
100011318.0,2
100011320.0,22
100011342.0,87
100011386.0,43
100011388.0,3
100011414.0,58
100011468.0,27
100011487.0,22
100011490.0,3
100011535.0,56
100011548.0,57
100011576.0,24
100011602.0,5
100011629.0,31
100011632.0,30
100011643.0,60
100011672.0,78
100011718.0,62
100011727.0,66
100011728.0,85
100011729.0,92
100011730.0,100
100011741.0,45
100011776.0,1
100011800.0,22
100011809.0,20
100011862.0,94
100010677.0,24
100010727.0,22
100010792.0,68
100010824.0,15
100010825.0,9
100010829.0,96
100010838.0,69
100010858.0,62
100010880.0,24
100010917.0,61
100010920.0,17
100010948.0,22
100010950.0,101
100010960.0,90
100010964.0,32
100010972.0,36
93651724.0,53
100010117.0,102
100010121.0,65
100010127.0,72
100010147.0,22
100010149.0,48
100010186.0,17
100010191.0,28
100010236.0,26
100010267.0,22
100010282.0,37
100010286.0,22
100010310.0,1
100010332.0,10
100010343.0,42
100010372.0,15
100010373.0,56
100010410.0,2
100010459.0,22
100010467.0,103
100010505.0,83
100010506.0,104
100010544.0,87
100010545.0,55
100010556.0,42
100010559.0,56
100010631.0,75
100010637.0,105
100010639.0,38
100010988.0,106
100011006.0,83
100011016.0,26
100011023.0,22
100011029.0,13
100011036.0,14
110311247.0,22
110311248.0,21
110311253.0,22
110311254.0,21
110311301.0,20
110311308.0,6
110311318.0,107
110311340.0,73
110311351.0,20
110311394.0,37
110311432.0,71
110311482.0,21
110311492.0,70
110311523.0,32
110311552.0,2
110311608.0,37
110311613.0,67
110311653.0,108
110311730.0,83
110311749.0,36
110311794.0,37
110311810.0,109
110311887.0,15
110311967.0,61
110311989.0,29
110312006.0,72
110312044.0,2
110312062.0,92
110312150.0,85
110312234.0,15
110312273.0,72
110312336.0,18
110318023.0,14
110318031.0,14
110318033.0,14
110310019.0,49
110310048.0,101
110310057.0,22
110310073.0,26
110310137.0,42
110310311.0,22
110310321.0,83
110310323.0,86
110310410.0,73
110310412.0,92
110310422.0,22
110310430.0,0
110310439.0,8
110310450.0,79
110310518.0,36
110310523.0,108
110310542.0,7
110310639.0,29
110310655.0,24
110310659.0,90
110310686.0,10
110310705.0,37
110310743.0,103
110310745.0,110
110310793.0,56
110310794.0,83
110310872.0,36
110310873.0,37
110310925.0,18
110310941.0,111
110310952.0,112
110310976.0,113
110311004.0,22
110311013.0,28
110311022.0,114
110311037.0,1
